Sample_name,Locus,file1,file2
NGN0600,Ac16S,Locus_Ac16S_Ac16S_ChkDn1_0321_S117_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkDn1_0321_S117_L001_R2_001.fastq
NGN0601,Ac16S,Locus_Ac16S_Ac16S_ChkDn2_0321_S118_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkDn2_0321_S118_L001_R2_001.fastq
NGN0602,Ac16S,Locus_Ac16S_Ac16S_ChkDn3_0321_S119_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkDn3_0321_S119_L001_R2_001.fastq
NGN0603,Ac16S,Locus_Ac16S_Ac16S_ChkUp1_0321_S120_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkUp1_0321_S120_L001_R2_001.fastq
NGN0604,Ac16S,Locus_Ac16S_Ac16S_ChkUp2_0321_S121_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkUp2_0321_S121_L001_R2_001.fastq
NGN0605,Ac16S,Locus_Ac16S_Ac16S_ChkUp3_0321_S122_L001_R1_001.fastq,Locus_Ac16S_Ac16S_ChkUp3_0321_S122_L001_R2_001.fastq
NGN0606,Ac16S,Locus_Ac16S_Ac16S_PadUp11_1_0421_S111_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp11_1_0421_S111_L001_R2_001.fastq
NGN0607,Ac16S,Locus_Ac16S_Ac16S_PadUp11_2_0421_S112_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp11_2_0421_S112_L001_R2_001.fastq
NGN0608,Ac16S,Locus_Ac16S_Ac16S_PadUp11_3_0421_S113_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp11_3_0421_S113_L001_R2_001.fastq
NGN0610,Ac16S,Locus_Ac16S_Ac16S_PadUp11_5_0321_S106_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp11_5_0321_S106_L001_R2_001.fastq
NGN0611,Ac16S,Locus_Ac16S_Ac16S_PadUp11_6_0321_S107_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp11_6_0321_S107_L001_R2_001.fastq
NGN0612,Ac16S,Locus_Ac16S_Ac16S_PadUp5_1_0421_S114_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_1_0421_S114_L001_R2_001.fastq
NGN0613,Ac16S,Locus_Ac16S_Ac16S_PadUp5_2_0421_S115_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_2_0421_S115_L001_R2_001.fastq
NGN0614,Ac16S,Locus_Ac16S_Ac16S_PadUp5_3_0421_S116_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_3_0421_S116_L001_R2_001.fastq
NGN0615,Ac16S,Locus_Ac16S_Ac16S_PadUp5_4_0321_S108_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_4_0321_S108_L001_R2_001.fastq
NGN0616,Ac16S,Locus_Ac16S_Ac16S_PadUp5_5_0321_S109_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_5_0321_S109_L001_R2_001.fastq
NGN0617,Ac16S,Locus_Ac16S_Ac16S_PadUp5_6_0321_S110_L001_R1_001.fastq,Locus_Ac16S_Ac16S_PadUp5_6_0321_S110_L001_R2_001.fastq
