Sample_name,Locus,file1,file2
COI-0621-1Prt-Dn-1,COI,Locus_COI_COI-0621-1Prt-Dn-1_S75_L001_R1_001.fastq,Locus_COI_COI-0621-1Prt-Dn-1_S75_L001_R2_001.fastq
COI-0621-1Prt-Up-3,COI,Locus_COI_COI-0621-1Prt-Up-3_S76_L001_R1_001.fastq,Locus_COI_COI-0621-1Prt-Up-3_S76_L001_R2_001.fastq
COI-0621-2Brn-Dn-2,COI,Locus_COI_COI-0621-2Brn-Dn-2_S77_L001_R1_001.fastq,Locus_COI_COI-0621-2Brn-Dn-2_S77_L001_R2_001.fastq
COI-0621-2Brn-Up-2,COI,Locus_COI_COI-0621-2Brn-Up-2_S78_L001_R1_001.fastq,Locus_COI_COI-0621-2Brn-Up-2_S78_L001_R2_001.fastq
COI-0621-2Brn-Up-3,COI,Locus_COI_COI-0621-2Brn-Up-3_S79_L001_R1_001.fastq,Locus_COI_COI-0621-2Brn-Up-3_S79_L001_R2_001.fastq
COI-0621-3Chk-Dn-1,COI,Locus_COI_COI-0621-3Chk-Dn-1_S80_L001_R1_001.fastq,Locus_COI_COI-0621-3Chk-Dn-1_S80_L001_R2_001.fastq
COI-0621-4Pad-Dn-3,COI,Locus_COI_COI-0621-4Pad-Dn-3_S81_L001_R1_001.fastq,Locus_COI_COI-0621-4Pad-Dn-3_S81_L001_R2_001.fastq
COI-0621-5Sqm-Dn-2,COI,Locus_COI_COI-0621-5Sqm-Dn-2_S82_L001_R1_001.fastq,Locus_COI_COI-0621-5Sqm-Dn-2_S82_L001_R2_001.fastq
COI-0621-5Sqm-Up-2,COI,Locus_COI_COI-0621-5Sqm-Up-2_S83_L001_R1_001.fastq,Locus_COI_COI-0621-5Sqm-Up-2_S83_L001_R2_001.fastq
COI-0721-1Prt-Dn-3,COI,Locus_COI_COI-0721-1Prt-Dn-3_S84_L001_R1_001.fastq,Locus_COI_COI-0721-1Prt-Dn-3_S84_L001_R2_001.fastq
COI-0721-2Brn-Dn-1,COI,Locus_COI_COI-0721-2Brn-Dn-1_S85_L001_R1_001.fastq,Locus_COI_COI-0721-2Brn-Dn-1_S85_L001_R2_001.fastq
COI-0721-2Brn-Up-2,COI,Locus_COI_COI-0721-2Brn-Up-2_S86_L001_R1_001.fastq,Locus_COI_COI-0721-2Brn-Up-2_S86_L001_R2_001.fastq
COI-0721-3Chk-Dn-1,COI,Locus_COI_COI-0721-3Chk-Dn-1_S87_L001_R1_001.fastq,Locus_COI_COI-0721-3Chk-Dn-1_S87_L001_R2_001.fastq
COI-0721-4Pad-Up5-2,COI,Locus_COI_COI-0721-4Pad-Up5-2_S89_L001_R1_001.fastq,Locus_COI_COI-0721-4Pad-Up5-2_S89_L001_R2_001.fastq
COI-0721-5Sqm-Dn-2,COI,Locus_COI_COI-0721-5Sqm-Dn-2_S90_L001_R1_001.fastq,Locus_COI_COI-0721-5Sqm-Dn-2_S90_L001_R2_001.fastq
COI-0721-5Sqm-Dn-3,COI,Locus_COI_COI-0721-5Sqm-Dn-3_S91_L001_R1_001.fastq,Locus_COI_COI-0721-5Sqm-Dn-3_S91_L001_R2_001.fastq
COI-0721-5Sqm-Up-1,COI,Locus_COI_COI-0721-5Sqm-Up-1_S92_L001_R1_001.fastq,Locus_COI_COI-0721-5Sqm-Up-1_S92_L001_R2_001.fastq
COI-0521-1Prt-Dn-2,COI,Locus_COI_COI-0521-1Prt-Dn-2_S93_L001_R1_001.fastq,Locus_COI_COI-0521-1Prt-Dn-2_S93_L001_R2_001.fastq
COI-0521-1Prt-Dn-3,COI,Locus_COI_COI-0521-1Prt-Dn-3_S94_L001_R1_001.fastq,Locus_COI_COI-0521-1Prt-Dn-3_S94_L001_R2_001.fastq
COI-0521-2Brn-Dn-2,COI,Locus_COI_COI-0521-2Brn-Dn-2_S96_L001_R1_001.fastq,Locus_COI_COI-0521-2Brn-Dn-2_S96_L001_R2_001.fastq
COI-0521-2Brn-Up-2,COI,Locus_COI_COI-0521-2Brn-Up-2_S97_L001_R1_001.fastq,Locus_COI_COI-0521-2Brn-Up-2_S97_L001_R2_001.fastq
COI-0521-3Chk-Dn-1,COI,Locus_COI_COI-0521-3Chk-Dn-1_S98_L001_R1_001.fastq,Locus_COI_COI-0521-3Chk-Dn-1_S98_L001_R2_001.fastq
COI-0521-3Chk-Dn-2,COI,Locus_COI_COI-0521-3Chk-Dn-2_S99_L001_R1_001.fastq,Locus_COI_COI-0521-3Chk-Dn-2_S99_L001_R2_001.fastq
COI-0521-3Chk-Dn-3,COI,Locus_COI_COI-0521-3Chk-Dn-3_S100_L001_R1_001.fastq,Locus_COI_COI-0521-3Chk-Dn-3_S100_L001_R2_001.fastq
COI-0521-4Pad-Dn-1,COI,Locus_COI_COI-0521-4Pad-Dn-1_S101_L001_R1_001.fastq,Locus_COI_COI-0521-4Pad-Dn-1_S101_L001_R2_001.fastq
COI-0521-4Pad-Dn-3,COI,Locus_COI_COI-0521-4Pad-Dn-3_S102_L001_R1_001.fastq,Locus_COI_COI-0521-4Pad-Dn-3_S102_L001_R2_001.fastq
