Hash,kangaroo,sample,second.origin,origin
05ffae7e8304f8eec6ba8d087502e140904c0147,3,0,Discarded,Positive.control
081fb78dc831652f4a529a2acabafc80a7b88482,1,0,Discarded,Positive.control
167527630cd22d2f0947798d38e95d41482bbca2,2,0,Discarded,Positive.control
194aa278be7ad9a1cf0a1f6501fc6826ababf621,1,0,Discarded,Positive.control
19fcf0abe6bd3d813412f0154dd7d53e9d6644d1,3,0,Discarded,Positive.control
1e87ea3f21c36e79d77905f9e9f49c8c0759c361,1,0,Discarded,Positive.control
2e46f9be10f6c3fe32646ff7213f9a80843c7e41,4,0,Discarded,Positive.control
2f2f47ac6000c16a9d16252bd9629ccb3ce54b7a,1,0,Discarded,Positive.control
3272f6c9cbaba73c474997e87357c22dcce92239,1,0,Discarded,Positive.control
35cb8f735d639e8e95a2327835b6e589e3432ed1,1,0,Discarded,Positive.control
3b877aab36cfec9afde65b6fb7ca8bccb4f07236,3,0,Discarded,Positive.control
3bd45757984c4321ff62162ddf5dbbb19245b041,3,0,Discarded,Positive.control
3e589e9167cb100bf6cd635850a39f219c2b90fa,1,0,Discarded,Positive.control
41a39edfd1a265114d2eb94745fc3abaced7a0f1,1,0,Discarded,Positive.control
436edc9b91d0d3ba5b28a995dece578e0177d672,1,0,Discarded,Positive.control
4474bcc28b1fac4f7d78ff85ba5c635752cf2def,1,0,Discarded,Positive.control
45e295954401dacde2e02f38e4542418106a89e7,2,0,Discarded,Positive.control
477b71202d84bfc785d310e5afa9acf60f1a2d1a,1,0,Discarded,Positive.control
4adc3ff6732d056d050dad0ee1ddeb1ef9cc8f01,1,0,Discarded,Positive.control
4cf39c685260f6894895572c87f98fa095b20732,2,0,Discarded,Positive.control
51d8ee53c7320b24d673be672b16198276d761a8,1,0,Discarded,Positive.control
554e5934ed08c46c0b2c0749a49ab75b2a465751,1,0,Discarded,Positive.control
59f3dc1659236f043ab1bbcf9f8b4167fd3b13cc,4,0,Discarded,Positive.control
5d4616a4ec1763232c2aca93de8f39642a71c85e,1,0,Discarded,Positive.control
5e7cc6e9b27330515be5105767e06e5f06c83368,1,0,Discarded,Positive.control
5e95f74345d09fb59051675deab22db802372fd6,1,0,Discarded,Positive.control
607b4ffd2bd7b70818c24430d217921df395a32a,1,0,Discarded,Positive.control
6d6e2c525ba397c697e3e11a4ef2800bced0989c,1,0,Discarded,Positive.control
74029a3225aee71a7da35ad5aacc3d9cf1eebb46,1,0,Discarded,Positive.control
7857c0861b5605350e6f69cadc59968e05d0d17f,1,0,Discarded,Positive.control
7e76d140f35cecb677b067fce4a3c4c7e7767d0a,1,0,Discarded,Positive.control
7ffe6b4806724aa859bb0910bd31da09e703b1df,3,0,Discarded,Positive.control
85b0da8d08c16b7575f15f0266cc91b7ac86cfec,1,0,Discarded,Positive.control
87db69c8d43ef3344dd2558623772a8199952c67,1,0,Discarded,Positive.control
8b7092bdac0b380c4a2f0f3e075d0b229fb1380e,1,0,Discarded,Positive.control
96c7f5f63873a6eb9807cc73724190ff7c50080f,2,0,Discarded,Positive.control
a38982919840a5f24d3783d89b413b6da86b35a2,3,0,Discarded,Positive.control
a4d1843c51b5dc2c5f878358b8d017f5f5583bd9,1,0,Discarded,Positive.control
a70854ec1c180d2a9926dc4d303c46371dcd4673,1,0,Discarded,Positive.control
a8313addcc1b516c41a2632ea4cb08a874ae463f,1,0,Discarded,Positive.control
a917c458cf109fdef7f2ac32525f4f143d1ed4fb,4,0,Discarded,Positive.control
ab7476aec2a1c53d382b7631e90615e9e19c18c5,2,0,Discarded,Positive.control
af9a4abfc693579ee31f23d4fc8ad15fedb91036,2,0,Discarded,Positive.control
b20e026ed6cf80ad3de0c49cf59f7837b460623b,1,0,Discarded,Positive.control
b61f0c10ca602d96512f46b3ad28be14c2f02456,1,0,Discarded,Positive.control
b88a603d11b4c5599c633075735a0324821ffbac,2,0,Discarded,Positive.control
bb8c7e5279771a053223fe6bfb85bb69bef90315,2,0,Discarded,Positive.control
c0020d441bb4653b7e4ec0aec991c116a4b2e1ac,1,0,Discarded,Positive.control
d4fe742a8a5b81ccba93b98c95eb6c2538b75e33,2,0,Discarded,Positive.control
dc9087dc656393cfc629348170491c422b133f0b,2,0,Discarded,Positive.control
e5d7e7ec2bd8fb5583d5bd0a892166a9cde2c155,1,0,Discarded,Positive.control
e7a5c8ee313cb3a8ccd66e38542eb8401bec0af7,3,0,Discarded,Positive.control
ecc9e73e40e9f403705a67c7b49f6038280f223b,1,0,Discarded,Positive.control
f028d76997cbe70ca2b208ad341019338a0fc799,1,0,Discarded,Positive.control
f7e174fa66c28807a274f47528919399b7577d04,2,0,Discarded,Positive.control
f8b31e11dd56d6b28fa34109197448c617482efe,1,0,Discarded,Positive.control
