Hash,kangaroo,sample,second.origin,origin
05ffae7e8304f8eec6ba8d087502e140904c0147,1,0,Discarded,Positive.control
081fb78dc831652f4a529a2acabafc80a7b88482,1,0,Discarded,Positive.control
167527630cd22d2f0947798d38e95d41482bbca2,1,0,Discarded,Positive.control
194aa278be7ad9a1cf0a1f6501fc6826ababf621,1,0,Discarded,Positive.control
19fcf0abe6bd3d813412f0154dd7d53e9d6644d1,1,0,Discarded,Positive.control
2e46f9be10f6c3fe32646ff7213f9a80843c7e41,1,0,Discarded,Positive.control
2f2f47ac6000c16a9d16252bd9629ccb3ce54b7a,1,0,Discarded,Positive.control
3b877aab36cfec9afde65b6fb7ca8bccb4f07236,1,0,Discarded,Positive.control
3bd45757984c4321ff62162ddf5dbbb19245b041,1,0,Discarded,Positive.control
3e589e9167cb100bf6cd635850a39f219c2b90fa,1,0,Discarded,Positive.control
41a39edfd1a265114d2eb94745fc3abaced7a0f1,1,0,Discarded,Positive.control
45e295954401dacde2e02f38e4542418106a89e7,1,0,Discarded,Positive.control
59f3dc1659236f043ab1bbcf9f8b4167fd3b13cc,1,0,Discarded,Positive.control
5e7cc6e9b27330515be5105767e06e5f06c83368,1,0,Discarded,Positive.control
5e95f74345d09fb59051675deab22db802372fd6,1,0,Discarded,Positive.control
74029a3225aee71a7da35ad5aacc3d9cf1eebb46,1,0,Discarded,Positive.control
7ffe6b4806724aa859bb0910bd31da09e703b1df,1,0,Discarded,Positive.control
85b0da8d08c16b7575f15f0266cc91b7ac86cfec,1,0,Discarded,Positive.control
93b1a402f944324962d7a939035eb04753ead8b7,1,1,Discarded,NA
96c7f5f63873a6eb9807cc73724190ff7c50080f,1,0,Discarded,Positive.control
a38982919840a5f24d3783d89b413b6da86b35a2,1,0,Discarded,Positive.control
a4d1843c51b5dc2c5f878358b8d017f5f5583bd9,1,0,Discarded,Positive.control
a917c458cf109fdef7f2ac32525f4f143d1ed4fb,1,0,Discarded,Positive.control
ab7476aec2a1c53d382b7631e90615e9e19c18c5,1,0,Discarded,Positive.control
af9a4abfc693579ee31f23d4fc8ad15fedb91036,1,0,Discarded,Positive.control
b20e026ed6cf80ad3de0c49cf59f7837b460623b,1,0,Discarded,Positive.control
b61f0c10ca602d96512f46b3ad28be14c2f02456,1,0,Discarded,Positive.control
b88a603d11b4c5599c633075735a0324821ffbac,1,0,Discarded,Positive.control
bb8c7e5279771a053223fe6bfb85bb69bef90315,1,0,Discarded,Positive.control
d4fe742a8a5b81ccba93b98c95eb6c2538b75e33,1,0,Discarded,Positive.control
dc9087dc656393cfc629348170491c422b133f0b,1,0,Discarded,Positive.control
e7a5c8ee313cb3a8ccd66e38542eb8401bec0af7,1,0,Discarded,Positive.control
f7e174fa66c28807a274f47528919399b7577d04,1,0,Discarded,Positive.control
